Company_Name,City,Product_Requirement,Est_Consumption_Kg,Status
Ganguly-Krish Refineries,Bengaluru,Manganese Sulphate,3936,Leads Generated
Issac-Modi Refineries,Chennai,Manganese Sulphate,4339,Sample Requested
Bhatt Ltd Refineries,Hyderabad,Lithium Carbonate,2276,Contacted
"Sami, Sibal and Yohannan Refineries",Visakhapatnam,Manganese Sulphate,3187,Contacted
Kar-Babu Refineries,Hosur,Nickel Sulphate,1715,Leads Generated
"Jhaveri, Reddy and Borde Refineries",Chennai,Manganese Sulphate,901,Leads Generated
"Sur, Bains and Karnik Refineries",Coimbatore,Nickel Sulphate,4147,Sample Requested
Panchal-Datta Refineries,Bengaluru,Nickel Sulphate,3266,Leads Generated
"Joshi, Khatri and Rajan Refineries",Hosur,Nickel Sulphate,2797,LOI Received
"Gole, Virk and Jain Refineries",Visakhapatnam,Cobalt Sulphate,1524,Discussion Stage
Shan-D’Alia Refineries,Hyderabad,Cobalt Sulphate,3805,Leads Generated
Sastry Inc Refineries,Hyderabad,Cobalt Sulphate,4595,Contacted
"Thaker, Kapoor and Mann Refineries",Chennai,Manganese Sulphate,2647,LOI Received
"Purohit, Bora and Madan Refineries",Kochi,Manganese Sulphate,1538,Leads Generated
Nori-Sachar Refineries,Hosur,Cobalt Sulphate,2983,Contacted
"Zachariah, Thaman and Mane Refineries",Bengaluru,Lithium Carbonate,1958,Sample Requested
Agate Inc Refineries,Bengaluru,Manganese Sulphate,3926,Sample Requested
Bumb Group Refineries,Chennai,Lithium Carbonate,4442,LOI Received
"Kapoor, Thaker and Master Refineries",Chennai,Cobalt Sulphate,1316,Leads Generated
Bora-Biswas Refineries,Coimbatore,Manganese Sulphate,2124,Leads Generated
Goda PLC Refineries,Kochi,Lithium Carbonate,3532,Contacted
Bath-Dube Refineries,Hyderabad,Cobalt Sulphate,2878,Leads Generated
"Jani, Shan and Chaudhuri Refineries",Kochi,Nickel Sulphate,565,Contacted
Kibe-Gala Refineries,Hyderabad,Cobalt Sulphate,3338,Contacted
Bhalla-Ratti Refineries,Hosur,Manganese Sulphate,2090,Leads Generated
Jhaveri-Dash Refineries,Coimbatore,Lithium Carbonate,2657,Discussion Stage
"Pandey, Sarkar and Grewal Refineries",Hosur,Cobalt Sulphate,2637,Leads Generated
Dhar-Seshadri Refineries,Visakhapatnam,Lithium Carbonate,2372,Contacted
Rajan Inc Refineries,Hyderabad,Manganese Sulphate,1380,Discussion Stage
"Karnik, Palan and Sengupta Refineries",Coimbatore,Lithium Carbonate,4610,Contacted
Oak and Sons Refineries,Visakhapatnam,Lithium Carbonate,3844,Contacted
Rai-Tripathi Refineries,Coimbatore,Manganese Sulphate,3397,Sample Requested
Baral-Rama Refineries,Hosur,Nickel Sulphate,890,Sample Requested
"Lala, Sehgal and Bandi Refineries",Visakhapatnam,Cobalt Sulphate,960,Contacted
Srinivasan-Goel Refineries,Coimbatore,Cobalt Sulphate,1143,Leads Generated
Om-Sachdeva Refineries,Coimbatore,Manganese Sulphate,3134,LOI Received
"Kaul, Contractor and Chopra Refineries",Hyderabad,Lithium Carbonate,3217,Discussion Stage
Barman-Sarin Refineries,Kochi,Cobalt Sulphate,3316,Leads Generated
Kade Group Refineries,Coimbatore,Nickel Sulphate,3270,LOI Received
Narula Inc Refineries,Hyderabad,Manganese Sulphate,4412,Leads Generated
"Wadhwa, Dugal and Sachdev Refineries",Visakhapatnam,Lithium Carbonate,4279,Leads Generated
Loke and Sons Refineries,Bengaluru,Nickel Sulphate,3309,Contacted
Kota PLC Refineries,Hosur,Manganese Sulphate,4947,Leads Generated
Ahluwalia-Mangal Refineries,Kochi,Cobalt Sulphate,944,Leads Generated
"Mall, Desai and Dora Refineries",Coimbatore,Cobalt Sulphate,4302,Sample Requested
Upadhyay PLC Refineries,Chennai,Nickel Sulphate,2505,Leads Generated
"Kadakia, Varghese and Baral Refineries",Coimbatore,Nickel Sulphate,1300,Sample Requested
"Kunda, Shanker and Srinivas Refineries",Visakhapatnam,Lithium Carbonate,2380,Discussion Stage
Bava-Suri Refineries,Chennai,Nickel Sulphate,3980,Sample Requested
Kapoor Ltd Refineries,Hyderabad,Nickel Sulphate,3093,Discussion Stage
"Chadha, Narayanan and Halder Refineries",Hyderabad,Manganese Sulphate,1200,Sample Requested
Dora Group Refineries,Chennai,Manganese Sulphate,4660,Discussion Stage
"Mohan, Sastry and Trivedi Refineries",Coimbatore,Nickel Sulphate,4722,Leads Generated
Mittal Ltd Refineries,Visakhapatnam,Nickel Sulphate,4591,Leads Generated
Chhabra and Sons Refineries,Visakhapatnam,Manganese Sulphate,2636,Contacted
Sachar-Agate Refineries,Coimbatore,Manganese Sulphate,3501,Leads Generated
Varughese PLC Refineries,Coimbatore,Nickel Sulphate,2085,Sample Requested
Nadig and Sons Refineries,Visakhapatnam,Cobalt Sulphate,3170,Contacted
Grewal-Saran Refineries,Bengaluru,Manganese Sulphate,1734,Leads Generated
"Varma, Ramachandran and Devan Refineries",Chennai,Cobalt Sulphate,3456,Leads Generated
"Saraf, Ramachandran and Narain Refineries",Kochi,Nickel Sulphate,4711,Sample Requested
Andra LLC Refineries,Visakhapatnam,Cobalt Sulphate,2794,Contacted
Chakrabarti-Issac Refineries,Bengaluru,Nickel Sulphate,1537,Leads Generated
"Pau, Mangat and Wadhwa Refineries",Bengaluru,Cobalt Sulphate,1832,Leads Generated
"Sinha, Soman and Manne Refineries",Chennai,Nickel Sulphate,2080,Leads Generated
"Sagar, Vora and Din Refineries",Hosur,Manganese Sulphate,1960,Leads Generated
"Dua, Merchant and Mallick Refineries",Coimbatore,Manganese Sulphate,1927,Contacted
"Keer, Ramachandran and Raja Refineries",Chennai,Lithium Carbonate,3383,Sample Requested
Bhasin-Dada Refineries,Chennai,Cobalt Sulphate,2761,Sample Requested
"Loke, Butala and Mohanty Refineries",Hyderabad,Lithium Carbonate,1062,Contacted
Sachdev Ltd Refineries,Hosur,Cobalt Sulphate,4707,Discussion Stage
Sibal Group Refineries,Kochi,Nickel Sulphate,3788,Leads Generated
Jain-Sawhney Refineries,Coimbatore,Lithium Carbonate,3115,Contacted
Tailor-Saha Refineries,Coimbatore,Cobalt Sulphate,3383,Leads Generated
Date-Bedi Refineries,Coimbatore,Nickel Sulphate,649,Leads Generated
Shetty Ltd Refineries,Kochi,Lithium Carbonate,598,Contacted
"Amble, Biswas and Gupta Refineries",Hyderabad,Nickel Sulphate,4200,Contacted
Mane-Choudhary Refineries,Visakhapatnam,Nickel Sulphate,2165,Leads Generated
Dhaliwal PLC Refineries,Hosur,Cobalt Sulphate,4174,Discussion Stage
Seshadri LLC Refineries,Bengaluru,Cobalt Sulphate,2101,Leads Generated
Sen-Ghose Refineries,Hosur,Manganese Sulphate,3154,Leads Generated
Dua-Raju Refineries,Hyderabad,Cobalt Sulphate,3872,Leads Generated
"Parmar, Jain and Barman Refineries",Visakhapatnam,Nickel Sulphate,2366,Sample Requested
Subramanian-Pandya Refineries,Visakhapatnam,Lithium Carbonate,3878,Contacted
Raval-Dhar Refineries,Kochi,Manganese Sulphate,4785,Leads Generated
Contractor and Sons Refineries,Coimbatore,Cobalt Sulphate,4560,Discussion Stage
Bedi LLC Refineries,Kochi,Cobalt Sulphate,2610,Leads Generated
"Walia, Mane and Mangat Refineries",Hosur,Manganese Sulphate,2243,Contacted
Baral-Gala Refineries,Coimbatore,Cobalt Sulphate,4697,Sample Requested
"Jha, Tata and Sharaf Refineries",Hyderabad,Cobalt Sulphate,4415,Leads Generated
Mohan PLC Refineries,Chennai,Manganese Sulphate,4279,Contacted
Madan-Choudhury Refineries,Chennai,Lithium Carbonate,723,Leads Generated
Saraf-Panchal Refineries,Bengaluru,Nickel Sulphate,2277,Leads Generated
"Madan, Borah and Loke Refineries",Hyderabad,Cobalt Sulphate,886,Sample Requested
Pingle-Dasgupta Refineries,Visakhapatnam,Cobalt Sulphate,4544,Discussion Stage
"Warrior, Bora and Pandya Refineries",Kochi,Manganese Sulphate,4841,Contacted
"Bhatnagar, Dugar and Bhavsar Refineries",Bengaluru,Cobalt Sulphate,2241,Leads Generated
Mukhopadhyay-Natarajan Refineries,Hyderabad,Lithium Carbonate,3123,Sample Requested
"Chana, Om and Kurian Refineries",Chennai,Nickel Sulphate,884,Sample Requested
Balan PLC Refineries,Kochi,Cobalt Sulphate,2594,Contacted
Baria-Saxena Refineries,Chennai,Nickel Sulphate,1940,Leads Generated
Gopal-Vaidya Refineries,Hosur,Cobalt Sulphate,4464,Discussion Stage
"Nagi, Sem and Goswami Refineries",Bengaluru,Nickel Sulphate,4829,Leads Generated
Nayar LLC Refineries,Chennai,Lithium Carbonate,2391,Contacted
"Balay, Mammen and Bumb Refineries",Hosur,Cobalt Sulphate,2269,Sample Requested
Ranganathan-Deep Refineries,Kochi,Cobalt Sulphate,1694,Discussion Stage
Badal-Shetty Refineries,Hyderabad,Cobalt Sulphate,1865,Contacted
Babu-Gaba Refineries,Hyderabad,Nickel Sulphate,4735,Discussion Stage
"Nori, Raja and Kumar Refineries",Hosur,Cobalt Sulphate,2133,Leads Generated
"Karpe, Buch and Balasubramanian Refineries",Kochi,Cobalt Sulphate,1439,Sample Requested
"Keer, Vig and Soni Refineries",Visakhapatnam,Manganese Sulphate,2322,LOI Received
"Uppal, Khare and Khatri Refineries",Visakhapatnam,Lithium Carbonate,2042,Leads Generated
Sani-Pathak Refineries,Coimbatore,Lithium Carbonate,1438,Sample Requested
Master and Sons Refineries,Kochi,Manganese Sulphate,3811,Contacted
"Bhasin, Lanka and Oommen Refineries",Visakhapatnam,Nickel Sulphate,1334,Discussion Stage
"Bora, Raj and Tandon Refineries",Hosur,Manganese Sulphate,2763,Leads Generated
"Khare, Babu and Bala Refineries",Bengaluru,Cobalt Sulphate,1567,Leads Generated
"Devi, Sekhon and Deshmukh Refineries",Kochi,Lithium Carbonate,4131,Leads Generated
Luthra-Seshadri Refineries,Bengaluru,Lithium Carbonate,3742,Sample Requested
Mammen-Patla Refineries,Hosur,Manganese Sulphate,1994,Leads Generated
Srinivasan PLC Refineries,Visakhapatnam,Nickel Sulphate,1516,Discussion Stage
"Chaudry, Ramachandran and Upadhyay Refineries",Coimbatore,Cobalt Sulphate,1407,Sample Requested
Doctor and Sons Refineries,Chennai,Cobalt Sulphate,2585,Contacted
Ravel-Wason Refineries,Coimbatore,Cobalt Sulphate,2307,Contacted
Venkatesh-Kothari Refineries,Hosur,Lithium Carbonate,4341,Leads Generated
Mangal-Sarma Refineries,Visakhapatnam,Manganese Sulphate,4640,Leads Generated
Bhatt Ltd Refineries,Chennai,Lithium Carbonate,2767,Contacted
"Loyal, Chad and Sibal Refineries",Hosur,Nickel Sulphate,773,Leads Generated
Salvi-Sampath Refineries,Visakhapatnam,Manganese Sulphate,3541,Discussion Stage
Ramesh-Bassi Refineries,Hyderabad,Cobalt Sulphate,2380,Discussion Stage
"Kara, Palan and Kala Refineries",Hosur,Cobalt Sulphate,2718,Discussion Stage
"Mammen, Borra and Rao Refineries",Bengaluru,Lithium Carbonate,1677,Leads Generated
Menon and Sons Refineries,Hosur,Manganese Sulphate,714,Leads Generated
"Bora, Cherian and Sandal Refineries",Visakhapatnam,Lithium Carbonate,1609,Discussion Stage
"Loyal, Misra and Agrawal Refineries",Hyderabad,Manganese Sulphate,4663,Discussion Stage
Bhattacharyya-Deshpande Refineries,Bengaluru,Nickel Sulphate,3390,Contacted
Ramakrishnan-Grewal Refineries,Chennai,Nickel Sulphate,3844,Discussion Stage
"Toor, Lata and Agarwal Refineries",Hyderabad,Manganese Sulphate,1133,Leads Generated
Kurian Group Refineries,Hyderabad,Nickel Sulphate,2683,Leads Generated
Baria-Bose Refineries,Bengaluru,Cobalt Sulphate,977,Contacted
Loke-Bhatnagar Refineries,Visakhapatnam,Manganese Sulphate,3448,Discussion Stage
Varghese LLC Refineries,Hosur,Cobalt Sulphate,1825,Contacted
Venkataraman-Agate Refineries,Hyderabad,Nickel Sulphate,4317,Leads Generated
Deep-Taneja Refineries,Coimbatore,Lithium Carbonate,2777,Contacted
Garg-Parekh Refineries,Coimbatore,Nickel Sulphate,2930,Leads Generated
Gole-Minhas Refineries,Bengaluru,Cobalt Sulphate,3267,Discussion Stage
Oza Group Refineries,Visakhapatnam,Nickel Sulphate,1547,Contacted
Dyal-Venkatesh Refineries,Hyderabad,Cobalt Sulphate,1315,Leads Generated
"Ramesh, Chokshi and Merchant Refineries",Kochi,Cobalt Sulphate,4143,Contacted
"Banerjee, Hora and Swamy Refineries",Bengaluru,Nickel Sulphate,4437,LOI Received
Bir Group Refineries,Bengaluru,Manganese Sulphate,2115,Sample Requested
"Purohit, Sathe and Seshadri Refineries",Coimbatore,Nickel Sulphate,4773,Sample Requested
"Contractor, Dara and Ratta Refineries",Chennai,Nickel Sulphate,1849,Discussion Stage
Prabhu Inc Refineries,Coimbatore,Manganese Sulphate,2415,Sample Requested
"Uppal, Sem and Sani Refineries",Bengaluru,Lithium Carbonate,572,Discussion Stage
Gokhale LLC Refineries,Bengaluru,Nickel Sulphate,2809,Discussion Stage
Amble PLC Refineries,Kochi,Nickel Sulphate,3057,Leads Generated
Krishnamurthy LLC Refineries,Coimbatore,Lithium Carbonate,2841,Discussion Stage
"Gaba, Mann and Jhaveri Refineries",Hosur,Nickel Sulphate,4914,Leads Generated
Kala-Reddy Refineries,Hosur,Cobalt Sulphate,3497,Sample Requested
Keer-Gill Refineries,Bengaluru,Nickel Sulphate,4546,LOI Received
Lanka-Gala Refineries,Hyderabad,Lithium Carbonate,4154,Contacted
Sangha-Mammen Refineries,Visakhapatnam,Manganese Sulphate,3243,Discussion Stage
Randhawa-Bhatia Refineries,Coimbatore,Lithium Carbonate,1316,Discussion Stage
Deshmukh Ltd Refineries,Kochi,Manganese Sulphate,2556,Leads Generated
Dube Group Refineries,Chennai,Cobalt Sulphate,3411,Sample Requested
"Gandhi, Saxena and Sarin Refineries",Visakhapatnam,Lithium Carbonate,587,LOI Received
Khanna LLC Refineries,Kochi,Cobalt Sulphate,4313,Contacted
Srinivas Ltd Refineries,Chennai,Cobalt Sulphate,1726,Sample Requested
"Kannan, Raman and Rastogi Refineries",Kochi,Cobalt Sulphate,686,Contacted
Chandran Inc Refineries,Chennai,Nickel Sulphate,2578,Leads Generated
Shankar Inc Refineries,Kochi,Cobalt Sulphate,3570,Sample Requested
Jain-Zacharia Refineries,Visakhapatnam,Cobalt Sulphate,1932,Leads Generated
Wali-Bhatti Refineries,Chennai,Manganese Sulphate,2334,Discussion Stage
"Hayre, Sur and Bera Refineries",Bengaluru,Cobalt Sulphate,4036,Leads Generated
Mohan-Nadig Refineries,Kochi,Cobalt Sulphate,4444,Contacted
Saini-Chandra Refineries,Chennai,Lithium Carbonate,1280,Leads Generated
Raja and Sons Refineries,Bengaluru,Lithium Carbonate,1626,Contacted
Chada-Hari Refineries,Bengaluru,Cobalt Sulphate,4951,Sample Requested
Tandon Group Refineries,Chennai,Nickel Sulphate,4400,LOI Received
Puri-Ramanathan Refineries,Visakhapatnam,Lithium Carbonate,823,Discussion Stage
Soman and Sons Refineries,Chennai,Manganese Sulphate,4242,Discussion Stage
Mand-Dani Refineries,Visakhapatnam,Cobalt Sulphate,3948,Leads Generated
"Arya, Ghosh and Lal Refineries",Bengaluru,Cobalt Sulphate,1583,LOI Received
Dhar-Sastry Refineries,Hosur,Nickel Sulphate,2511,Contacted
Andra-Rattan Refineries,Visakhapatnam,Lithium Carbonate,3574,Contacted
Kalla PLC Refineries,Chennai,Nickel Sulphate,3397,Sample Requested
Varghese-Vohra Refineries,Hyderabad,Nickel Sulphate,2403,Leads Generated
"Patla, Bhargava and Gola Refineries",Kochi,Lithium Carbonate,518,Discussion Stage
"Soman, Vaidya and Boase Refineries",Kochi,Cobalt Sulphate,2395,Leads Generated
Borra-Shah Refineries,Coimbatore,Manganese Sulphate,4303,Leads Generated
"Sehgal, Bhasin and Bobal Refineries",Visakhapatnam,Lithium Carbonate,3451,Sample Requested
Bath LLC Refineries,Hosur,Cobalt Sulphate,1738,Discussion Stage
Sidhu-Chaudhari Refineries,Hosur,Nickel Sulphate,3398,Leads Generated
"Chanda, Gola and Ghose Refineries",Hyderabad,Manganese Sulphate,3814,Contacted
Sami LLC Refineries,Bengaluru,Cobalt Sulphate,2252,Leads Generated
"Issac, Chad and Buch Refineries",Hyderabad,Manganese Sulphate,3159,Sample Requested
"Acharya, Apte and Doctor Refineries",Bengaluru,Cobalt Sulphate,1037,LOI Received
Dyal-Lala Refineries,Coimbatore,Lithium Carbonate,2857,Sample Requested
Kurian-Sibal Refineries,Hosur,Lithium Carbonate,520,LOI Received
Bumb-Devi Refineries,Visakhapatnam,Nickel Sulphate,2770,Sample Requested
Bail PLC Refineries,Coimbatore,Manganese Sulphate,1520,Sample Requested
"Sodhi, Bassi and Chopra Refineries",Bengaluru,Cobalt Sulphate,1991,Discussion Stage
Ray-Biswas Refineries,Hosur,Nickel Sulphate,4145,Contacted
Keer LLC Refineries,Bengaluru,Cobalt Sulphate,4044,Leads Generated
Sha LLC Refineries,Visakhapatnam,Nickel Sulphate,1894,Leads Generated
"Dey, Varughese and Narula Refineries",Hosur,Cobalt Sulphate,3499,Sample Requested
"Tandon, Soman and Dasgupta Refineries",Hosur,Nickel Sulphate,3137,Contacted
Sarraf-Ganguly Refineries,Bengaluru,Manganese Sulphate,3529,Leads Generated
"Sarraf, Dhingra and Gupta Refineries",Bengaluru,Lithium Carbonate,2514,Leads Generated
Sinha-Bhatia Refineries,Visakhapatnam,Cobalt Sulphate,1744,Leads Generated
Joshi-Chakraborty Refineries,Bengaluru,Manganese Sulphate,4189,Discussion Stage
"Bhardwaj, Sarin and Balan Refineries",Coimbatore,Lithium Carbonate,804,Contacted
"Merchant, Hari and Sekhon Refineries",Visakhapatnam,Nickel Sulphate,1444,Discussion Stage
"Dalal, Saxena and Prabhakar Refineries",Hosur,Cobalt Sulphate,4706,Contacted
Handa PLC Refineries,Chennai,Nickel Sulphate,979,LOI Received
Manda Inc Refineries,Kochi,Lithium Carbonate,515,Discussion Stage
Mand-Joshi Refineries,Coimbatore,Manganese Sulphate,2347,Leads Generated
Ahluwalia-Chander Refineries,Bengaluru,Lithium Carbonate,3094,Leads Generated
Chandra-Bir Refineries,Chennai,Lithium Carbonate,2013,Leads Generated
Suresh PLC Refineries,Bengaluru,Nickel Sulphate,1663,Leads Generated
"Ahluwalia, Murthy and Contractor Refineries",Kochi,Lithium Carbonate,1076,Leads Generated
Kaur PLC Refineries,Kochi,Cobalt Sulphate,3208,Contacted
"Pal, Shukla and Kothari Refineries",Chennai,Manganese Sulphate,918,Contacted
Rattan and Sons Refineries,Hyderabad,Manganese Sulphate,3054,Discussion Stage
"Rau, Kumar and Kibe Refineries",Hyderabad,Manganese Sulphate,3220,Contacted
Manne Inc Refineries,Kochi,Cobalt Sulphate,590,Contacted
Venkatesh-Majumdar Refineries,Bengaluru,Cobalt Sulphate,603,Leads Generated
Ratti Inc Refineries,Hyderabad,Nickel Sulphate,2049,Leads Generated
"Sachdev, Natarajan and Srinivas Refineries",Chennai,Cobalt Sulphate,4129,Leads Generated
"Dara, Raman and Kurian Refineries",Hyderabad,Cobalt Sulphate,950,Leads Generated
Dara Inc Refineries,Coimbatore,Lithium Carbonate,1717,Sample Requested
Keer Group Refineries,Kochi,Lithium Carbonate,1299,Leads Generated
Sagar LLC Refineries,Coimbatore,Manganese Sulphate,4822,Contacted
Nair-Rajan Refineries,Visakhapatnam,Manganese Sulphate,2971,Discussion Stage
"Aurora, Bala and Joshi Refineries",Hyderabad,Lithium Carbonate,702,Contacted
Handa and Sons Refineries,Bengaluru,Cobalt Sulphate,1382,Leads Generated
"Iyengar, Jhaveri and Mitra Refineries",Hyderabad,Lithium Carbonate,602,Sample Requested
"Bansal, Rege and Gera Refineries",Chennai,Lithium Carbonate,2854,Contacted
Mallick Inc Refineries,Chennai,Lithium Carbonate,3139,Discussion Stage
Nagar PLC Refineries,Hosur,Manganese Sulphate,3824,Leads Generated
"Sarma, Sha and Kapur Refineries",Hyderabad,Lithium Carbonate,2134,Discussion Stage
Buch PLC Refineries,Hyderabad,Nickel Sulphate,3836,Contacted
Nagy LLC Refineries,Kochi,Manganese Sulphate,1736,Leads Generated
Puri LLC Refineries,Visakhapatnam,Lithium Carbonate,1700,LOI Received
Johal Group Refineries,Hyderabad,Cobalt Sulphate,3290,Leads Generated
Buch Inc Refineries,Bengaluru,Nickel Sulphate,1460,Discussion Stage
"Gola, Jayaraman and Tiwari Refineries",Chennai,Nickel Sulphate,4070,Contacted
"Varkey, Trivedi and Mital Refineries",Chennai,Manganese Sulphate,3217,Leads Generated
Comar LLC Refineries,Kochi,Nickel Sulphate,2551,Leads Generated
Sarma-Varghese Refineries,Visakhapatnam,Lithium Carbonate,1257,Contacted
Goel Group Refineries,Visakhapatnam,Cobalt Sulphate,4124,Leads Generated
Lad-Shukla Refineries,Hosur,Lithium Carbonate,3731,Leads Generated
Malhotra Inc Refineries,Bengaluru,Manganese Sulphate,4669,Contacted
"Mall, Sha and Radhakrishnan Refineries",Hyderabad,Nickel Sulphate,3199,Leads Generated
"Srinivasan, Dubey and Bansal Refineries",Hyderabad,Lithium Carbonate,1489,Leads Generated
Gade-Nath Refineries,Kochi,Manganese Sulphate,592,Leads Generated
"Sandal, Luthra and Swaminathan Refineries",Chennai,Cobalt Sulphate,2802,Sample Requested
Bhat-Zachariah Refineries,Chennai,Manganese Sulphate,3313,Discussion Stage
Munshi Ltd Refineries,Visakhapatnam,Lithium Carbonate,2105,Sample Requested
Muni Inc Refineries,Coimbatore,Cobalt Sulphate,3672,Leads Generated
Balay and Sons Refineries,Coimbatore,Manganese Sulphate,2622,Contacted
Handa and Sons Refineries,Coimbatore,Cobalt Sulphate,3523,Leads Generated
Narayanan-Jayaraman Refineries,Visakhapatnam,Lithium Carbonate,3319,Leads Generated
"Issac, Dugar and Lad Refineries",Visakhapatnam,Cobalt Sulphate,2878,LOI Received
"Natt, Palla and Jayaraman Refineries",Chennai,Lithium Carbonate,3633,LOI Received
Sem PLC Refineries,Kochi,Manganese Sulphate,4300,Leads Generated
Bhat PLC Refineries,Visakhapatnam,Manganese Sulphate,2841,Sample Requested
Dada LLC Refineries,Hosur,Cobalt Sulphate,747,Sample Requested
"Tak, Khalsa and Vasa Refineries",Hosur,Lithium Carbonate,3697,Leads Generated
Prabhakar-Parikh Refineries,Kochi,Cobalt Sulphate,3583,Contacted
Contractor-Raja Refineries,Hyderabad,Cobalt Sulphate,1817,Leads Generated
Sekhon LLC Refineries,Chennai,Manganese Sulphate,2475,Leads Generated
Kakar-Subramanian Refineries,Hosur,Nickel Sulphate,3779,Contacted
Guha-Chaudry Refineries,Kochi,Cobalt Sulphate,2145,Contacted
"Dass, Kaur and Kothari Refineries",Hosur,Manganese Sulphate,1684,Contacted
Johal Ltd Refineries,Coimbatore,Nickel Sulphate,2239,Leads Generated
Chandran-Shukla Refineries,Bengaluru,Lithium Carbonate,3309,Leads Generated
Balasubramanian and Sons Refineries,Hyderabad,Nickel Sulphate,2155,Sample Requested
Khurana-Balay Refineries,Chennai,Cobalt Sulphate,3744,Leads Generated
"Nayar, Nigam and Verma Refineries",Visakhapatnam,Lithium Carbonate,1241,Leads Generated
Chopra PLC Refineries,Bengaluru,Nickel Sulphate,2911,Leads Generated
Baria and Sons Refineries,Coimbatore,Manganese Sulphate,4807,Contacted
Date-Kalita Refineries,Kochi,Nickel Sulphate,2575,Leads Generated
"Balay, Hayre and Chaudry Refineries",Hosur,Nickel Sulphate,1291,Sample Requested
Gaba-Contractor Refineries,Kochi,Nickel Sulphate,1989,Leads Generated
Sethi and Sons Refineries,Kochi,Nickel Sulphate,3157,Contacted
"Prashad, Yohannan and Basu Refineries",Chennai,Cobalt Sulphate,2158,Contacted
Bains Inc Refineries,Hosur,Lithium Carbonate,3051,Leads Generated
Rege Group Refineries,Chennai,Lithium Carbonate,3287,Sample Requested
Oak-Biswas Refineries,Chennai,Cobalt Sulphate,4591,Leads Generated
"Madan, Pillai and Lala Refineries",Hyderabad,Nickel Sulphate,1658,Discussion Stage
Reddy-Bhargava Refineries,Kochi,Lithium Carbonate,3427,Leads Generated
"Comar, Pillai and Bhavsar Refineries",Hosur,Lithium Carbonate,4914,Sample Requested
Nagar-Dyal Refineries,Coimbatore,Lithium Carbonate,3899,Sample Requested
Deshmukh-Tandon Refineries,Hosur,Lithium Carbonate,4900,Leads Generated
Lalla Group Refineries,Bengaluru,Lithium Carbonate,4696,Discussion Stage
Raval LLC Refineries,Hyderabad,Cobalt Sulphate,2450,Contacted
"Bora, Munshi and Badami Refineries",Coimbatore,Lithium Carbonate,1698,Contacted
Dasgupta-Virk Refineries,Hyderabad,Lithium Carbonate,2345,Discussion Stage
Dyal-Rastogi Refineries,Coimbatore,Nickel Sulphate,4547,Leads Generated
"Dasgupta, Thaman and Dhaliwal Refineries",Hosur,Lithium Carbonate,4939,Sample Requested
Anne Group Refineries,Coimbatore,Lithium Carbonate,3294,Discussion Stage
Gara PLC Refineries,Kochi,Lithium Carbonate,2662,Sample Requested
Dubey-Prashad Refineries,Visakhapatnam,Nickel Sulphate,4754,Leads Generated
Balay Inc Refineries,Chennai,Cobalt Sulphate,3429,Leads Generated
Ranganathan LLC Refineries,Kochi,Nickel Sulphate,4823,Contacted
Hayre Group Refineries,Visakhapatnam,Nickel Sulphate,4929,Discussion Stage
Mani LLC Refineries,Kochi,Lithium Carbonate,1643,Leads Generated
Iyer and Sons Refineries,Coimbatore,Manganese Sulphate,3697,Leads Generated
"Agate, Narula and Kara Refineries",Hyderabad,Manganese Sulphate,567,Contacted
Saxena Inc Refineries,Bengaluru,Lithium Carbonate,1741,Contacted
Mutti-Vora Refineries,Visakhapatnam,Cobalt Sulphate,3351,LOI Received
"Kalita, Kurian and Choudhury Refineries",Visakhapatnam,Lithium Carbonate,611,Contacted
Bose Ltd Refineries,Hyderabad,Cobalt Sulphate,3491,Contacted
Edwin-Khurana Refineries,Bengaluru,Nickel Sulphate,3511,Discussion Stage
Prashad-Bir Refineries,Chennai,Cobalt Sulphate,4660,Leads Generated
Ganesan-Karan Refineries,Kochi,Manganese Sulphate,4911,Leads Generated
"Mall, Sabharwal and Butala Refineries",Chennai,Manganese Sulphate,719,Leads Generated
Sagar and Sons Refineries,Coimbatore,Manganese Sulphate,3383,Leads Generated
"Anand, Amble and Varkey Refineries",Visakhapatnam,Manganese Sulphate,1171,Leads Generated
Palla Inc Refineries,Visakhapatnam,Lithium Carbonate,3152,Sample Requested
Rao-Radhakrishnan Refineries,Kochi,Manganese Sulphate,2255,Contacted
Vora PLC Refineries,Hyderabad,Manganese Sulphate,2886,Discussion Stage
Tank Group Refineries,Coimbatore,Cobalt Sulphate,1074,Sample Requested
Jha PLC Refineries,Chennai,Cobalt Sulphate,3459,Contacted
"Ravi, Nagi and Savant Refineries",Hosur,Manganese Sulphate,1690,Contacted
Seth-Sandhu Refineries,Visakhapatnam,Cobalt Sulphate,2783,Discussion Stage
"Sangha, Agrawal and Nayak Refineries",Hyderabad,Lithium Carbonate,1239,Discussion Stage
"Chopra, Saini and Walla Refineries",Chennai,Nickel Sulphate,745,Contacted
Chowdhury Group Refineries,Hyderabad,Nickel Sulphate,708,Contacted
"Ahluwalia, Oza and Kuruvilla Refineries",Kochi,Manganese Sulphate,1689,Leads Generated
Mammen Group Refineries,Visakhapatnam,Nickel Sulphate,2608,Contacted
Tella-Thaker Refineries,Coimbatore,Manganese Sulphate,2703,Contacted
"Sami, Mahajan and Kade Refineries",Hosur,Manganese Sulphate,3301,Discussion Stage
Sami-Behl Refineries,Chennai,Manganese Sulphate,1020,Contacted
