Company_Name,City,Battery_Type,Est_Monthly_Kg,Status
"Jhaveri, Banik and Pal E-Waste Solutions",Visakhapatnam,Mobile Phone,333,Qualified
Tak PLC E-Waste Solutions,Coimbatore,E-Scooter,329,LOI Received
"Zachariah, Pillay and Rout E-Waste Solutions",Hyderabad,EV Battery Packs,1032,Interested
Sarma and Sons E-Waste Solutions,Chennai,Laptop,1414,Qualified
Grover-Tara E-Waste Solutions,Hyderabad,E-Bike,348,Contacted
Arya and Sons E-Waste Solutions,Chennai,E-Scooter,264,Qualified
Vyas-Sehgal E-Waste Solutions,Kochi,E-Bike,1163,LOI Received
Chowdhury Ltd E-Waste Solutions,Visakhapatnam,E-Scooter,614,Leads Generated
"Kothari, Agrawal and Narayan E-Waste Solutions",Kochi,Mobile Phone,624,Leads Generated
Bhargava PLC E-Waste Solutions,Hyderabad,E-Bike,494,Contacted
Dutt-Arya E-Waste Solutions,Bengaluru,E-Bike,754,Contacted
"Suri, Sekhon and Krishna E-Waste Solutions",Coimbatore,Laptop,856,Leads Generated
Chacko-Sahni E-Waste Solutions,Chennai,E-Scooter,596,Leads Generated
Bala-Chakraborty E-Waste Solutions,Bengaluru,EV Battery Packs,257,Contacted
Sahni Inc E-Waste Solutions,Bengaluru,Mobile Phone,745,Leads Generated
"Seth, Bansal and Golla E-Waste Solutions",Visakhapatnam,E-Scooter,1186,Leads Generated
"Kapadia, Date and Luthra E-Waste Solutions",Chennai,Mobile Phone,401,Leads Generated
"Bedi, Khurana and Chadha E-Waste Solutions",Bengaluru,EV Battery Packs,1122,Interested
"Sahni, Brahmbhatt and Baral E-Waste Solutions",Hyderabad,E-Bike,1032,LOI Received
"Patel, Bansal and Palla E-Waste Solutions",Visakhapatnam,Mobile Phone,620,Interested
"Kannan, Shankar and Rastogi E-Waste Solutions",Hyderabad,EV Battery Packs,121,Contacted
"Bhatnagar, Varty and Sengupta E-Waste Solutions",Hosur,Mobile Phone,656,Leads Generated
"Warrior, Parmar and Barad E-Waste Solutions",Hosur,EV Battery Packs,1464,Qualified
Datta Inc E-Waste Solutions,Bengaluru,Laptop,1038,Qualified
"Varughese, Narayan and Dutta E-Waste Solutions",Hosur,Laptop,797,Interested
Borra-Sachdev E-Waste Solutions,Kochi,Mobile Phone,1381,Contacted
Loyal LLC E-Waste Solutions,Visakhapatnam,E-Scooter,367,Interested
Bora Inc E-Waste Solutions,Bengaluru,E-Bike,1323,Contacted
"Oza, Bandi and Ramesh E-Waste Solutions",Visakhapatnam,EV Battery Packs,1000,Contacted
Dutta Group E-Waste Solutions,Visakhapatnam,E-Scooter,1402,Leads Generated
"Rout, Bose and Menon E-Waste Solutions",Bengaluru,Laptop,186,Leads Generated
"Warrior, Jayaraman and Wali E-Waste Solutions",Coimbatore,E-Bike,1409,Contacted
"Batta, Nagy and Grover E-Waste Solutions",Hosur,E-Scooter,808,Qualified
"Khosla, Jha and Nayar E-Waste Solutions",Hyderabad,E-Scooter,1476,Qualified
Ahuja PLC E-Waste Solutions,Kochi,E-Bike,1495,Contacted
Raval-Agarwal E-Waste Solutions,Hosur,Mobile Phone,1448,Leads Generated
Rattan Group E-Waste Solutions,Hosur,Laptop,960,Interested
"Ghosh, Dhillon and Jani E-Waste Solutions",Chennai,E-Scooter,677,Leads Generated
Dhaliwal and Sons E-Waste Solutions,Coimbatore,E-Bike,284,Contacted
"Om, Sarma and Bajaj E-Waste Solutions",Coimbatore,E-Bike,1374,Leads Generated
Mitra PLC E-Waste Solutions,Chennai,Laptop,1214,Leads Generated
Mammen-Sidhu E-Waste Solutions,Chennai,Mobile Phone,1384,Leads Generated
"Kamdar, Shenoy and Bera E-Waste Solutions",Bengaluru,Mobile Phone,920,Contacted
Oak-Dasgupta E-Waste Solutions,Chennai,Laptop,908,Qualified
Pandya Inc E-Waste Solutions,Bengaluru,Laptop,745,Qualified
Bhagat Ltd E-Waste Solutions,Visakhapatnam,EV Battery Packs,1411,Leads Generated
Sura-Tailor E-Waste Solutions,Bengaluru,E-Scooter,948,Leads Generated
Mannan Inc E-Waste Solutions,Bengaluru,EV Battery Packs,940,Leads Generated
Char-Dhar E-Waste Solutions,Coimbatore,Mobile Phone,131,LOI Received
Chacko-Dube E-Waste Solutions,Coimbatore,E-Scooter,884,Leads Generated
Parekh PLC E-Waste Solutions,Kochi,EV Battery Packs,604,Leads Generated
"Dutta, Devi and Goyal E-Waste Solutions",Visakhapatnam,E-Scooter,208,Leads Generated
"Munshi, Mangal and Tank E-Waste Solutions",Bengaluru,E-Bike,1348,Contacted
Taneja-Basak E-Waste Solutions,Visakhapatnam,Mobile Phone,1198,Contacted
Ghose Inc E-Waste Solutions,Kochi,E-Scooter,586,Contacted
Chadha-Kala E-Waste Solutions,Kochi,E-Bike,735,Contacted
Mangat and Sons E-Waste Solutions,Visakhapatnam,EV Battery Packs,288,Leads Generated
Keer-Viswanathan E-Waste Solutions,Hosur,EV Battery Packs,273,Contacted
Cherian and Sons E-Waste Solutions,Visakhapatnam,Laptop,1116,Contacted
"Jaggi, Johal and Nadig E-Waste Solutions",Hyderabad,Mobile Phone,1279,Contacted
Roy-Bala E-Waste Solutions,Hyderabad,EV Battery Packs,696,Leads Generated
"Ahuja, Ben and Natt E-Waste Solutions",Chennai,E-Scooter,242,Leads Generated
Rama-Dhingra E-Waste Solutions,Hyderabad,Laptop,907,Leads Generated
Soni and Sons E-Waste Solutions,Hosur,E-Scooter,1385,Leads Generated
Deo-Sani E-Waste Solutions,Bengaluru,Mobile Phone,775,Qualified
"Gupta, Dave and Shukla E-Waste Solutions",Hyderabad,E-Scooter,144,LOI Received
Saini-Deshmukh E-Waste Solutions,Hosur,Laptop,960,Leads Generated
Dutt Inc E-Waste Solutions,Kochi,Laptop,691,Leads Generated
"Dugar, Parsa and Jaggi E-Waste Solutions",Bengaluru,E-Bike,1399,Leads Generated
"Parmar, Raj and Shere E-Waste Solutions",Visakhapatnam,Mobile Phone,222,Contacted
Apte-Chad E-Waste Solutions,Bengaluru,E-Scooter,1072,Leads Generated
Yohannan Ltd E-Waste Solutions,Visakhapatnam,E-Bike,892,Leads Generated
Pingle-Ramachandran E-Waste Solutions,Visakhapatnam,E-Bike,835,Contacted
"Toor, Sahota and Devi E-Waste Solutions",Coimbatore,Mobile Phone,457,Interested
Shankar PLC E-Waste Solutions,Bengaluru,Laptop,994,Interested
Chaudry-Naidu E-Waste Solutions,Coimbatore,E-Scooter,982,Leads Generated
Khanna-Deol E-Waste Solutions,Hyderabad,Mobile Phone,277,Contacted
"Bhakta, Madan and Prakash E-Waste Solutions",Kochi,E-Bike,840,Leads Generated
"Bansal, Sant and Bains E-Waste Solutions",Hyderabad,Mobile Phone,1131,Leads Generated
"Sood, Merchant and Bahri E-Waste Solutions",Kochi,Mobile Phone,441,Contacted
Iyer-Raghavan E-Waste Solutions,Bengaluru,E-Bike,505,Qualified
Chander LLC E-Waste Solutions,Visakhapatnam,Laptop,1493,Qualified
"Buch, Raman and Verma E-Waste Solutions",Chennai,E-Scooter,1238,Contacted
Nadig-Pandit E-Waste Solutions,Coimbatore,E-Bike,900,Contacted
Khalsa Group E-Waste Solutions,Kochi,E-Bike,156,LOI Received
Sarkar-Andra E-Waste Solutions,Hosur,Mobile Phone,909,Interested
Thaker-Krishna E-Waste Solutions,Kochi,Mobile Phone,563,Leads Generated
Lala LLC E-Waste Solutions,Bengaluru,Laptop,592,Contacted
Saha Ltd E-Waste Solutions,Visakhapatnam,E-Scooter,579,Interested
"Sodhi, Sanghvi and Mody E-Waste Solutions",Kochi,EV Battery Packs,796,Leads Generated
Walia-Bhagat E-Waste Solutions,Visakhapatnam,E-Bike,101,LOI Received
Bakshi Group E-Waste Solutions,Hosur,Mobile Phone,830,Leads Generated
"Butala, Apte and Varkey E-Waste Solutions",Hyderabad,Mobile Phone,1414,Interested
Chaudhari and Sons E-Waste Solutions,Coimbatore,E-Bike,1311,Leads Generated
"Keer, Srinivasan and Soni E-Waste Solutions",Coimbatore,E-Bike,955,Leads Generated
"Banerjee, Wali and Dada E-Waste Solutions",Visakhapatnam,E-Bike,1436,Contacted
Subramanian LLC E-Waste Solutions,Hosur,E-Bike,474,Contacted
Andra LLC E-Waste Solutions,Chennai,E-Scooter,353,Contacted
"Mishra, Balasubramanian and Prakash E-Waste Solutions",Bengaluru,Laptop,298,Qualified
"Ratta, Pandit and Goda E-Waste Solutions",Chennai,E-Bike,1471,Qualified
Chad-Lall E-Waste Solutions,Visakhapatnam,E-Bike,783,Leads Generated
Bains-Balay E-Waste Solutions,Hyderabad,E-Scooter,1159,Contacted
"Naik, Prasad and Balakrishnan E-Waste Solutions",Hosur,Laptop,1128,Contacted
Natarajan-Sengupta E-Waste Solutions,Kochi,E-Scooter,349,Leads Generated
"Brar, Hegde and Loke E-Waste Solutions",Hosur,Mobile Phone,1430,Contacted
Gour Inc E-Waste Solutions,Hyderabad,Laptop,241,Contacted
Sagar Inc E-Waste Solutions,Chennai,EV Battery Packs,1373,Contacted
Ramakrishnan-Vohra E-Waste Solutions,Hyderabad,E-Bike,1280,Leads Generated
"Natt, Raman and Khalsa E-Waste Solutions",Chennai,E-Scooter,410,Leads Generated
Gera Ltd E-Waste Solutions,Kochi,E-Bike,1330,Leads Generated
Ghose-More E-Waste Solutions,Bengaluru,E-Bike,670,Leads Generated
"Aggarwal, Bassi and Tripathi E-Waste Solutions",Visakhapatnam,Mobile Phone,1338,Contacted
Bhat LLC E-Waste Solutions,Coimbatore,E-Bike,457,Contacted
"Cherian, Halder and Chopra E-Waste Solutions",Visakhapatnam,E-Bike,659,Leads Generated
Chakrabarti-Virk E-Waste Solutions,Visakhapatnam,E-Scooter,1475,Contacted
"Sekhon, Handa and Ray E-Waste Solutions",Coimbatore,EV Battery Packs,1255,Leads Generated
Bhatt-Datta E-Waste Solutions,Chennai,Mobile Phone,347,Contacted
Mander-Dar E-Waste Solutions,Bengaluru,E-Scooter,226,Leads Generated
Ghose Ltd E-Waste Solutions,Hyderabad,EV Battery Packs,717,Contacted
Gola LLC E-Waste Solutions,Kochi,Mobile Phone,437,Leads Generated
Sarraf-Sama E-Waste Solutions,Chennai,Mobile Phone,1339,Interested
Shetty Ltd E-Waste Solutions,Bengaluru,Laptop,497,LOI Received
"Pal, Saran and Wason E-Waste Solutions",Hyderabad,EV Battery Packs,1384,Contacted
Sur-Patla E-Waste Solutions,Hosur,EV Battery Packs,1498,Contacted
Pingle-Sekhon E-Waste Solutions,Bengaluru,EV Battery Packs,399,Leads Generated
"Bhandari, Saran and Ramakrishnan E-Waste Solutions",Bengaluru,Mobile Phone,1137,Qualified
Singhal-Sha E-Waste Solutions,Visakhapatnam,E-Scooter,185,Leads Generated
"Golla, Mutti and Arora E-Waste Solutions",Hyderabad,EV Battery Packs,1173,Qualified
"Menon, Prasad and Kashyap E-Waste Solutions",Coimbatore,E-Bike,1170,Leads Generated
"Mittal, Master and Ramesh E-Waste Solutions",Kochi,Laptop,797,Leads Generated
Hari LLC E-Waste Solutions,Hosur,Laptop,1227,Leads Generated
Om-Sami E-Waste Solutions,Visakhapatnam,E-Bike,1227,Interested
Mitter-Kala E-Waste Solutions,Chennai,Laptop,1369,Interested
Om-Loke E-Waste Solutions,Kochi,Mobile Phone,903,Leads Generated
Biswas-Varty E-Waste Solutions,Chennai,Mobile Phone,1143,LOI Received
Mitter-Thaker E-Waste Solutions,Visakhapatnam,Laptop,1196,Qualified
"Kakar, Sharma and Mani E-Waste Solutions",Chennai,Mobile Phone,1050,Leads Generated
"Venkatesh, Mallick and Vaidya E-Waste Solutions",Chennai,Laptop,1358,Contacted
"Kale, Loke and Amble E-Waste Solutions",Coimbatore,E-Bike,499,Contacted
Devan-Dugal E-Waste Solutions,Kochi,E-Scooter,1425,Leads Generated
Tella-Choudhry E-Waste Solutions,Kochi,E-Bike,1211,Leads Generated
"Kakar, Sachar and Yadav E-Waste Solutions",Hosur,E-Scooter,981,Qualified
Lata and Sons E-Waste Solutions,Visakhapatnam,E-Bike,1378,Contacted
Vohra-Khosla E-Waste Solutions,Visakhapatnam,EV Battery Packs,832,Contacted
Suri and Sons E-Waste Solutions,Kochi,Mobile Phone,463,Contacted
Singh-Chandra E-Waste Solutions,Kochi,Mobile Phone,268,Contacted
"Mukherjee, Walla and Arora E-Waste Solutions",Chennai,EV Battery Packs,268,Leads Generated
"Sinha, Dalal and Savant E-Waste Solutions",Chennai,Mobile Phone,137,Leads Generated
Salvi-Kakar E-Waste Solutions,Chennai,Mobile Phone,1068,Leads Generated
"Wali, Barman and Barad E-Waste Solutions",Hyderabad,EV Battery Packs,1296,Interested
Kant and Sons E-Waste Solutions,Kochi,Laptop,1277,Contacted
"Wali, Mani and Gara E-Waste Solutions",Coimbatore,Mobile Phone,976,Contacted
Issac-Pradhan E-Waste Solutions,Coimbatore,EV Battery Packs,647,Leads Generated
Bhat-Bal E-Waste Solutions,Visakhapatnam,EV Battery Packs,726,Interested
Talwar-Sheth E-Waste Solutions,Chennai,E-Scooter,444,Contacted
Raj-Luthra E-Waste Solutions,Hyderabad,Mobile Phone,1498,Interested
Walla-Krishnan E-Waste Solutions,Bengaluru,Laptop,425,Leads Generated
Murthy-Goel E-Waste Solutions,Hosur,E-Scooter,342,Leads Generated
Raju-Varkey E-Waste Solutions,Visakhapatnam,E-Scooter,997,Contacted
"Yohannan, Khanna and Kade E-Waste Solutions",Visakhapatnam,EV Battery Packs,218,Interested
"Bora, Madan and Varkey E-Waste Solutions",Chennai,Mobile Phone,958,Contacted
"Sarraf, Parsa and Zacharia E-Waste Solutions",Visakhapatnam,Mobile Phone,1016,Leads Generated
Mahajan-Sangha E-Waste Solutions,Hyderabad,Mobile Phone,375,Leads Generated
Char-Sura E-Waste Solutions,Chennai,E-Scooter,1389,Leads Generated
Maharaj-Wable E-Waste Solutions,Chennai,E-Bike,1463,Interested
Khosla-Bedi E-Waste Solutions,Hosur,EV Battery Packs,1409,Interested
Krish PLC E-Waste Solutions,Coimbatore,Laptop,1267,Leads Generated
"Pal, Divan and Nazareth E-Waste Solutions",Chennai,Mobile Phone,322,Contacted
"Manda, Datta and Sunder E-Waste Solutions",Coimbatore,EV Battery Packs,432,Leads Generated
Venkatesh Inc E-Waste Solutions,Hyderabad,E-Bike,529,Leads Generated
Bajwa-Srivastava E-Waste Solutions,Bengaluru,E-Bike,701,Contacted
"Sawhney, Mane and Mandal E-Waste Solutions",Kochi,Laptop,121,Interested
Gara PLC E-Waste Solutions,Coimbatore,E-Bike,1493,Contacted
"Agrawal, Tara and Lalla E-Waste Solutions",Chennai,Mobile Phone,136,Leads Generated
Sundaram Ltd E-Waste Solutions,Bengaluru,E-Bike,818,Interested
Pau-Saha E-Waste Solutions,Bengaluru,Mobile Phone,564,Contacted
"Bali, Kari and Din E-Waste Solutions",Hosur,Mobile Phone,209,Qualified
Yogi PLC E-Waste Solutions,Hyderabad,EV Battery Packs,1411,Contacted
"Bansal, Karpe and Hayer E-Waste Solutions",Visakhapatnam,E-Scooter,938,Contacted
Venkataraman-Kamdar E-Waste Solutions,Chennai,EV Battery Packs,787,Contacted
"Rajagopalan, Baral and Narayanan E-Waste Solutions",Visakhapatnam,E-Scooter,107,Interested
Sem-Tella E-Waste Solutions,Bengaluru,Mobile Phone,658,Qualified
"Samra, Buch and Sane E-Waste Solutions",Coimbatore,E-Bike,925,Leads Generated
"Vohra, Nigam and Lalla E-Waste Solutions",Bengaluru,E-Scooter,269,Contacted
Menon LLC E-Waste Solutions,Visakhapatnam,EV Battery Packs,918,Leads Generated
Koshy PLC E-Waste Solutions,Hosur,E-Bike,1264,Interested
"Kant, Handa and Tella E-Waste Solutions",Coimbatore,Mobile Phone,787,Leads Generated
"Upadhyay, Pandya and Murty E-Waste Solutions",Hyderabad,Mobile Phone,854,Qualified
"Prashad, Narayan and Kunda E-Waste Solutions",Hosur,Laptop,1373,Contacted
Kumar PLC E-Waste Solutions,Bengaluru,E-Bike,488,Interested
Mahajan PLC E-Waste Solutions,Visakhapatnam,E-Bike,1371,Contacted
Badal-Dar E-Waste Solutions,Visakhapatnam,E-Scooter,676,Leads Generated
Srinivas-Subramaniam E-Waste Solutions,Coimbatore,EV Battery Packs,745,Leads Generated
Jain Group E-Waste Solutions,Coimbatore,Laptop,1060,Leads Generated
Sharaf-Saxena E-Waste Solutions,Hosur,EV Battery Packs,551,Contacted
Sangha Group E-Waste Solutions,Hyderabad,Laptop,1224,Leads Generated
"Mane, Tailor and Ram E-Waste Solutions",Hosur,E-Bike,1398,Contacted
Bajwa Inc E-Waste Solutions,Bengaluru,E-Scooter,333,Leads Generated
"Roy, Sharma and Virk E-Waste Solutions",Coimbatore,E-Scooter,649,Contacted
"Aurora, Golla and Bora E-Waste Solutions",Hyderabad,Mobile Phone,962,Leads Generated
"Andra, Sawhney and Brahmbhatt E-Waste Solutions",Hyderabad,E-Scooter,217,Interested
D’Alia-Subramaniam E-Waste Solutions,Kochi,Laptop,236,Contacted
"Bhargava, Walia and Shah E-Waste Solutions",Bengaluru,Laptop,1183,Qualified
Tripathi-Kaur E-Waste Solutions,Hosur,Mobile Phone,1408,Leads Generated
Koshy-Dora E-Waste Solutions,Kochi,Laptop,786,Leads Generated
Amble-Barad E-Waste Solutions,Visakhapatnam,E-Scooter,1444,Qualified
Sarna Inc E-Waste Solutions,Visakhapatnam,E-Scooter,361,Qualified
Tailor-Goswami E-Waste Solutions,Hosur,E-Scooter,551,Leads Generated
Dhingra Inc E-Waste Solutions,Visakhapatnam,Laptop,1451,Contacted
Sundaram PLC E-Waste Solutions,Hosur,Laptop,414,Leads Generated
Nagi-Pillay E-Waste Solutions,Coimbatore,Mobile Phone,753,Contacted
Bora-Sant E-Waste Solutions,Hyderabad,E-Scooter,833,LOI Received
"Issac, Munshi and Dar E-Waste Solutions",Chennai,EV Battery Packs,213,Leads Generated
Mane LLC E-Waste Solutions,Bengaluru,Laptop,1330,Interested
"Pathak, Chaudry and Sheth E-Waste Solutions",Bengaluru,Mobile Phone,333,Qualified
Tella Inc E-Waste Solutions,Coimbatore,E-Bike,600,Leads Generated
Kashyap PLC E-Waste Solutions,Hosur,Laptop,1368,Leads Generated
Mammen Group E-Waste Solutions,Hosur,EV Battery Packs,1062,Leads Generated
Ravel-Oak E-Waste Solutions,Coimbatore,Laptop,284,Leads Generated
Bal-Wable E-Waste Solutions,Hyderabad,E-Bike,202,Contacted
"Mann, Raval and Solanki E-Waste Solutions",Coimbatore,Laptop,675,Qualified
Sood PLC E-Waste Solutions,Coimbatore,EV Battery Packs,388,Leads Generated
Ghosh-Mukherjee E-Waste Solutions,Visakhapatnam,EV Battery Packs,500,Leads Generated
"Loke, Sem and Sura E-Waste Solutions",Bengaluru,Laptop,273,Leads Generated
Master Group E-Waste Solutions,Hyderabad,Mobile Phone,1260,Leads Generated
Dara and Sons E-Waste Solutions,Chennai,Laptop,963,Interested
"Devi, Sodhi and Raju E-Waste Solutions",Visakhapatnam,Laptop,232,Leads Generated
Dua-Upadhyay E-Waste Solutions,Coimbatore,EV Battery Packs,578,Leads Generated
"Bora, D’Alia and Chandra E-Waste Solutions",Coimbatore,E-Scooter,837,Qualified
Das-Manne E-Waste Solutions,Kochi,Mobile Phone,633,Leads Generated
"Krish, Chhabra and Jayaraman E-Waste Solutions",Coimbatore,Mobile Phone,565,Leads Generated
Bhatnagar-Chaudhari E-Waste Solutions,Visakhapatnam,E-Bike,625,Leads Generated
Dubey-Koshy E-Waste Solutions,Hyderabad,EV Battery Packs,1433,Leads Generated
Garg Ltd E-Waste Solutions,Visakhapatnam,EV Battery Packs,493,LOI Received
"Chadha, Pant and Narasimhan E-Waste Solutions",Hosur,E-Scooter,903,Leads Generated
Kalita-Basu E-Waste Solutions,Visakhapatnam,EV Battery Packs,720,Leads Generated
Rastogi-Chana E-Waste Solutions,Chennai,Laptop,1064,Qualified
"Kalita, Hegde and Pal E-Waste Solutions",Kochi,Laptop,968,Leads Generated
Balan Ltd E-Waste Solutions,Coimbatore,E-Bike,500,Leads Generated
Uppal Ltd E-Waste Solutions,Hosur,EV Battery Packs,856,Qualified
Mammen-Walla E-Waste Solutions,Chennai,E-Bike,145,Contacted
Nanda PLC E-Waste Solutions,Coimbatore,EV Battery Packs,1133,Leads Generated
Nagarajan Inc E-Waste Solutions,Coimbatore,Mobile Phone,1409,Leads Generated
Ganesan-Dhillon E-Waste Solutions,Hyderabad,Mobile Phone,1222,Contacted
Vyas-Edwin E-Waste Solutions,Bengaluru,Mobile Phone,701,Contacted
Dugar-Varma E-Waste Solutions,Bengaluru,Mobile Phone,161,Contacted
Sathe-Srinivasan E-Waste Solutions,Visakhapatnam,E-Scooter,653,Leads Generated
"Mani, Bala and Nadig E-Waste Solutions",Hyderabad,Mobile Phone,1215,Leads Generated
Seth Ltd E-Waste Solutions,Chennai,E-Scooter,258,Interested
"Raghavan, Sanghvi and Doshi E-Waste Solutions",Chennai,E-Scooter,1350,Contacted
"Nanda, Basu and Bal E-Waste Solutions",Bengaluru,Mobile Phone,184,Contacted
Kibe Group E-Waste Solutions,Kochi,E-Bike,1010,Leads Generated
Pingle PLC E-Waste Solutions,Chennai,E-Scooter,689,Leads Generated
"Joshi, Johal and Hora E-Waste Solutions",Hosur,EV Battery Packs,1067,Leads Generated
Patla-Vora E-Waste Solutions,Bengaluru,Mobile Phone,841,Qualified
Bail-Mishra E-Waste Solutions,Hosur,EV Battery Packs,963,Leads Generated
"Manne, Om and Taneja E-Waste Solutions",Chennai,E-Bike,145,Interested
"Chaudry, Gandhi and Ben E-Waste Solutions",Bengaluru,E-Scooter,357,Interested
Oza-Bhat E-Waste Solutions,Bengaluru,Laptop,999,Contacted
Shan Inc E-Waste Solutions,Chennai,EV Battery Packs,372,Leads Generated
"Shere, Pant and Saraf E-Waste Solutions",Chennai,Mobile Phone,1259,Leads Generated
"Kale, Varma and Bains E-Waste Solutions",Visakhapatnam,Laptop,821,Leads Generated
Raghavan PLC E-Waste Solutions,Hosur,Laptop,595,Leads Generated
"Dhar, Issac and Saini E-Waste Solutions",Chennai,E-Bike,652,Qualified
Deo-Jani E-Waste Solutions,Chennai,Laptop,140,Qualified
"Roy, Jain and Batta E-Waste Solutions",Kochi,E-Scooter,220,Contacted
Narain LLC E-Waste Solutions,Coimbatore,EV Battery Packs,1098,Contacted
"Muni, Chaudhary and Varkey E-Waste Solutions",Bengaluru,Mobile Phone,604,Contacted
Kade-Chauhan E-Waste Solutions,Coimbatore,Laptop,1429,LOI Received
Purohit LLC E-Waste Solutions,Coimbatore,Mobile Phone,1117,Leads Generated
"Chakraborty, Kurian and Golla E-Waste Solutions",Coimbatore,Mobile Phone,1270,Qualified
Patel and Sons E-Waste Solutions,Chennai,E-Scooter,151,Leads Generated
"Grewal, Rai and Choudhury E-Waste Solutions",Coimbatore,E-Bike,862,Contacted
Mander PLC E-Waste Solutions,Coimbatore,E-Scooter,850,Leads Generated
"Walla, Chacko and Gandhi E-Waste Solutions",Hyderabad,Laptop,905,Contacted
Mutti LLC E-Waste Solutions,Kochi,E-Scooter,536,Leads Generated
Bora Ltd E-Waste Solutions,Coimbatore,Mobile Phone,931,Leads Generated
Guha-Tella E-Waste Solutions,Visakhapatnam,E-Bike,396,Interested
"Bath, Choudhury and Dar E-Waste Solutions",Hyderabad,E-Scooter,705,Interested
Bedi-Bhalla E-Waste Solutions,Hyderabad,Laptop,1363,Qualified
Sekhon LLC E-Waste Solutions,Visakhapatnam,Laptop,361,Leads Generated
"Balay, Bora and Mannan E-Waste Solutions",Chennai,EV Battery Packs,719,Contacted
Din and Sons E-Waste Solutions,Bengaluru,Laptop,1184,LOI Received
Narain Inc E-Waste Solutions,Bengaluru,E-Scooter,180,Qualified
Boase-Comar E-Waste Solutions,Kochi,E-Bike,1456,Qualified
Wagle Inc E-Waste Solutions,Bengaluru,E-Scooter,408,LOI Received
"Anand, Atwal and Kalita E-Waste Solutions",Hyderabad,E-Scooter,1032,Interested
Ganguly Inc E-Waste Solutions,Bengaluru,E-Bike,1314,Leads Generated
Basak-Devan E-Waste Solutions,Bengaluru,E-Bike,1099,Interested
Dutt-Banik E-Waste Solutions,Coimbatore,E-Scooter,542,Contacted
"Konda, Prashad and Mohanty E-Waste Solutions",Chennai,E-Scooter,1174,Contacted
Ganesh-Arora E-Waste Solutions,Kochi,EV Battery Packs,981,Contacted
Srinivasan-Bir E-Waste Solutions,Kochi,Mobile Phone,172,Contacted
"Mannan, Shenoy and Sidhu E-Waste Solutions",Bengaluru,E-Bike,1193,Contacted
Subramaniam PLC E-Waste Solutions,Kochi,E-Bike,1138,Qualified
Chowdhury PLC E-Waste Solutions,Kochi,Mobile Phone,371,Interested
Kalla-Verma E-Waste Solutions,Kochi,EV Battery Packs,891,Leads Generated
Brahmbhatt-Sidhu E-Waste Solutions,Hosur,E-Scooter,172,Interested
Lata Inc E-Waste Solutions,Bengaluru,E-Scooter,1413,Contacted
Bhandari-Kaur E-Waste Solutions,Chennai,E-Scooter,367,Qualified
"Bhat, Chadha and Tak E-Waste Solutions",Hyderabad,E-Bike,1152,Leads Generated
Raja-Arora E-Waste Solutions,Bengaluru,EV Battery Packs,874,Interested
Parsa-Misra E-Waste Solutions,Hosur,Laptop,747,LOI Received
"Baral, Varty and Rajagopalan E-Waste Solutions",Visakhapatnam,E-Scooter,899,Contacted
Hora Group E-Waste Solutions,Chennai,E-Bike,230,Qualified
"Oak, Viswanathan and Misra E-Waste Solutions",Hyderabad,Mobile Phone,260,Leads Generated
"Hegde, Brahmbhatt and Chowdhury E-Waste Solutions",Coimbatore,E-Bike,348,Leads Generated
Bumb-Amble E-Waste Solutions,Hosur,Mobile Phone,461,Leads Generated
Ben Ltd E-Waste Solutions,Chennai,E-Bike,1247,Qualified
Saraf-Tiwari E-Waste Solutions,Hosur,Mobile Phone,561,Leads Generated
"Tara, Mangat and Gill E-Waste Solutions",Hosur,EV Battery Packs,814,Leads Generated
"Shankar, Prakash and Bumb E-Waste Solutions",Hosur,E-Bike,879,Contacted
Khatri-Ramanathan E-Waste Solutions,Chennai,E-Bike,134,Interested
"Bhakta, Dyal and Pau E-Waste Solutions",Visakhapatnam,EV Battery Packs,1474,Contacted
"Khalsa, Srivastava and Bava E-Waste Solutions",Hosur,EV Battery Packs,1001,Contacted
Khatri PLC E-Waste Solutions,Hyderabad,EV Battery Packs,1157,Leads Generated
Bora Ltd E-Waste Solutions,Visakhapatnam,Mobile Phone,146,Leads Generated
Bassi-Bali E-Waste Solutions,Chennai,EV Battery Packs,803,Interested
"Nayak, Golla and Mammen E-Waste Solutions",Coimbatore,Laptop,1201,Leads Generated
"Nayar, Ahluwalia and Garde E-Waste Solutions",Visakhapatnam,Mobile Phone,362,LOI Received
"Thaker, Bajwa and Bahri E-Waste Solutions",Hosur,E-Scooter,312,Leads Generated
Naik LLC E-Waste Solutions,Hosur,Mobile Phone,1257,Contacted
Butala and Sons E-Waste Solutions,Hosur,EV Battery Packs,623,LOI Received
Kurian and Sons E-Waste Solutions,Hyderabad,EV Battery Packs,1233,Qualified
Choudhry Group E-Waste Solutions,Coimbatore,Laptop,584,Interested
Bobal Group E-Waste Solutions,Hyderabad,Mobile Phone,917,Contacted
Barad-Krishna E-Waste Solutions,Hosur,Laptop,1131,Contacted
Kata-Sharma E-Waste Solutions,Chennai,E-Bike,1153,Contacted
Kari-Issac E-Waste Solutions,Chennai,Mobile Phone,820,Leads Generated
"Kakar, Dara and Buch E-Waste Solutions",Hyderabad,EV Battery Packs,166,Leads Generated
Halder-Mani E-Waste Solutions,Bengaluru,Laptop,484,Leads Generated
"Bassi, Rama and Oza E-Waste Solutions",Bengaluru,E-Bike,448,Leads Generated
